Soil_Moisture,Nutrient_Level,Crop_Health,Temperature,Humidity,Precipitation,Yield_Percentage,Future_Temperature,Future_Humidity,Future_Precipitation
78,123,7,30,72,6,80,23,76,4
80,175,4,31,75,3,79,24,74,4
75,175,7,26,66,6,87,27,75,7
51,120,8,25,66,8,92,28,66,6
78,127,7,31,64,5,85,23,73,7
57,120,8,27,64,6,87,26,66,7
80,171,4,32,73,2,75,20,76,3
44,121,7,26,66,7,88,28,69,8
51,120,8,26,61,7,90,28,66,7
80,185,4,30,75,3,75,21,76,3
70,128,7,26,71,7,85,27,68,6
80,201,3,33,75,3,75,21,76,3
66,142,7,26,71,5,88,27,74,6
67,170,7,29,72,4,76,22,76,4
54,120,8,25,65,7,87,28,67,8
50,133,6,25,66,7,86,28,68,6
67,126,7,25,67,6,89,27,68,8
59,123,7,27,63,6,88,28,69,6
72,173,6,30,73,4,75,23,76,6
72,124,6,25,64,8,90,25,67,7
80,189,6,31,75,4,78,20,76,3
51,120,7,25,64,8,92,27,67,8
60,120,7,27,62,6,92,28,67,7
77,120,7,30,73,6,85,27,76,3
58,135,8,25,65,7,90,27,65,6
42,126,7,28,64,6,85,25,68,6
77,161,7,33,66,6,87,21,74,3
71,133,8,32,73,7,87,26,73,7
77,161,6,30,72,4,87,20,76,5
80,191,3,33,75,3,75,21,76,3
80,157,4,31,74,3,78,21,76,3
43,120,7,25,62,7,90,28,66,7
70,161,6,32,72,6,85,22,76,7
45,140,7,27,67,7,88,25,69,8
44,120,8,25,65,8,89,26,67,8
68,123,7,27,63,7,89,25,68,7
74,165,3,32,73,3,79,22,76,3
80,137,7,31,64,4,88,21,69,7
68,120,7,27,68,6,90,27,65,7
51,136,8,25,65,6,89,27,67,7
80,205,3,32,75,2,81,19,76,3
67,185,7,30,73,3,85,21,76,3
80,167,4,32,75,2,75,21,76,3
46,129,6,32,64,8,88,23,68,6
76,128,7,32,75,7,84,21,68,6
78,125,6,32,74,7,88,22,73,3
47,126,7,28,62,7,91,27,68,7
78,174,3,32,74,3,78,21,76,3
79,161,3,31,74,3,76,20,76,4
63,128,7,27,65,6,85,27,69,6
45,121,7,26,63,7,87,26,75,6
75,177,4,30,72,2,86,20,74,4
75,177,7,33,72,2,77,21,74,3
63,120,8,27,69,8,84,20,69,7
78,155,7,31,75,2,79,19,76,4
48,120,5,25,65,6,88,27,65,6
47,120,7,26,62,6,89,28,68,6
51,120,8,25,65,8,91,25,67,8
71,159,6,33,75,2,85,24,76,3
48,130,7,25,65,6,90,28,66,6
48,125,8,26,61,6,86,28,67,7
80,170,3,31,75,5,77,23,76,4
80,162,4,33,75,5,76,20,76,3
51,136,6,25,64,6,90,21,68,7
74,124,7,26,69,8,88,26,67,6
49,120,7,25,63,7,88,27,66,7
79,133,6,32,75,7,84,23,76,3
54,121,8,25,63,7,90,27,65,8
49,137,7,25,63,6,85,27,66,6
75,175,3,31,74,4,75,21,76,3
72,120,8,25,65,7,88,26,76,6
80,184,4,32,75,2,76,21,76,3
80,180,8,32,74,7,82,22,76,5
44,134,8,27,66,7,89,27,68,6
55,129,8,25,67,5,89,27,73,6
78,164,8,31,71,4,85,22,76,7
73,201,4,32,66,4,77,22,76,6
72,143,7,26,64,7,88,26,67,6
80,175,7,32,75,5,85,20,68,4
71,130,7,31,75,4,86,23,73,3
74,169,3,32,75,5,77,23,76,3
80,190,3,31,75,2,85,21,76,3
55,120,6,27,63,7,90,26,67,6
46,124,9,25,64,6,90,27,67,9
80,155,7,31,75,6,89,21,76,5
72,184,7,33,74,3,89,19,74,3
77,177,7,30,74,4,81,22,70,3
42,120,7,25,62,7,88,26,66,6
51,120,6,25,63,7,90,28,66,6
43,120,8,26,64,7,88,26,68,8
40,141,8,26,64,7,90,27,66,7
80,168,3,30,73,2,75,21,76,3
42,128,7,27,69,7,89,27,63,7
66,138,6,28,72,5,90,22,75,6
71,189,7,31,72,2,78,21,75,4
77,175,4,31,73,2,79,22,65,3
49,123,8,25,63,7,92,25,66,7
80,188,6,31,75,3,82,20,76,4
44,120,6,27,64,6,90,28,63,6
79,171,4,32,75,3,77,22,76,4
68,132,6,32,70,2,87,22,67,6
56,134,8,26,64,6,85,21,68,6
46,128,8,26,63,7,88,28,66,7
49,120,8,25,63,6,88,25,66,7
52,120,8,26,63,6,89,28,68,8
42,126,6,25,66,7,89,26,70,7
44,129,7,25,62,8,87,25,64,7
53,162,8,32,75,5,80,22,75,4
69,172,7,32,62,5,89,25,76,8
74,183,4,33,73,3,79,22,76,3
42,133,7,26,67,7,90,24,75,6
66,162,8,29,65,6,87,21,64,7
77,177,3,30,75,2,81,22,76,4
55,123,7,26,62,8,88,28,66,7
43,120,8,25,63,6,88,28,67,8
80,174,6,33,75,6,78,21,76,3
55,120,8,25,61,8,92,27,67,6
46,122,7,25,62,7,87,28,65,6
77,196,3,30,72,3,75,23,75,3
72,198,4,32,74,7,77,22,76,8
69,172,4,32,75,4,75,22,76,4
74,160,4,31,75,4,76,21,75,3
43,131,6,26,66,5,89,26,65,7
40,124,6,26,61,6,86,28,65,6
46,120,8,27,65,6,88,27,67,7
40,120,7,26,63,6,88,26,65,7
78,129,3,25,73,4,85,22,69,4
70,120,3,33,73,3,87,23,75,3
69,174,3,31,75,2,77,22,76,4
47,130,8,26,64,7,90,28,66,7
80,167,7,33,74,3,76,20,76,3
45,120,8,25,63,7,89,28,65,6
35,121,7,26,68,7,91,27,66,9
73,162,7,26,74,4,78,22,76,7
76,168,3,32,72,3,78,21,76,4
47,120,7,29,65,7,86,28,70,7
41,126,7,28,66,7,88,21,66,8
68,184,7,33,69,3,91,22,76,7
44,120,8,25,65,7,86,27,70,7
71,178,6,31,71,4,85,23,76,4
49,135,7,25,62,6,91,26,64,6
80,184,4,33,75,4,76,21,76,3
71,152,8,32,71,7,87,22,76,9
75,125,7,32,64,6,85,28,67,7
51,126,7,25,65,7,90,27,67,6
46,192,7,30,71,5,88,23,76,7
74,176,8,31,75,4,76,22,72,5
41,120,7,27,64,6,86,26,66,7
50,185,6,30,64,3,87,28,65,7
80,176,4,34,75,3,75,19,76,3
80,191,4,31,75,2,75,22,76,3
47,120,7,28,68,7,88,26,67,6
50,120,7,26,71,3,87,27,76,7
80,185,3,30,75,2,75,20,76,3
55,120,9,25,64,7,90,27,66,7
60,125,7,25,64,7,90,27,67,6
70,123,7,27,75,6,86,23,66,6
79,125,6,32,68,2,85,26,74,6
45,132,7,25,64,4,88,27,67,7
50,126,8,26,64,6,90,28,66,7
80,166,3,31,75,4,75,20,76,3
48,130,7,25,65,5,87,28,64,6
76,142,7,25,63,8,87,27,68,5
51,138,6,29,67,6,90,26,65,7
48,120,8,25,68,8,90,25,67,7
80,185,4,33,75,2,75,20,76,3
46,120,7,26,63,7,87,22,67,5
73,125,3,32,75,3,87,21,76,3
39,120,8,27,64,8,87,26,65,7
70,169,8,25,61,7,86,22,67,7
80,189,4,30,74,5,77,20,73,3
78,175,7,32,75,3,75,22,76,4
80,132,6,26,75,6,88,28,66,6
47,120,7,26,65,7,90,28,64,7
73,125,6,30,65,6,86,21,68,6
52,120,8,25,64,5,89,26,66,7
45,121,7,26,66,7,87,28,66,6
49,120,8,26,64,8,85,28,64,7
80,180,4,33,75,2,75,20,76,3
40,138,7,26,68,7,86,24,75,7
42,127,7,26,67,7,90,26,67,7
80,180,3,31,75,4,81,21,76,4
43,120,7,25,66,8,85,27,66,6
53,120,7,25,63,7,87,28,67,7
58,120,7,25,65,7,90,28,67,7
76,120,8,28,66,7,89,27,76,3
74,124,7,27,67,6,89,26,68,6
45,123,7,26,67,7,87,26,67,7
43,140,6,25,67,7,87,26,67,6
75,191,4,32,73,4,88,23,73,3
51,120,7,26,63,8,88,27,68,7
44,124,7,26,66,7,92,24,67,8
71,134,9,25,69,6,87,26,76,6
79,183,8,30,75,3,78,22,76,3
48,120,7,26,66,7,88,27,64,7
78,174,4,30,74,4,86,21,75,6
40,125,6,25,61,7,92,28,66,7
80,172,3,31,71,2,78,23,76,5
57,130,7,27,67,6,88,28,67,7
45,120,8,27,66,7,90,26,67,7
73,193,8,31,75,7,79,20,76,3
80,188,4,32,75,3,76,22,74,4
54,134,6,26,62,6,87,28,66,7
69,183,6,25,72,6,85,20,74,4
49,136,8,25,62,7,89,28,68,7
52,120,7,25,62,6,87,26,66,6
75,166,4,31,72,3,85,23,76,3
52,126,8,28,66,7,88,27,67,6
79,178,4,33,74,3,75,20,74,4
73,131,7,28,65,2,88,22,68,7
38,120,8,25,61,6,91,28,66,6
78,149,7,32,74,6,88,22,68,4
47,128,7,25,64,6,88,27,67,6
80,190,3,31,75,2,76,21,76,3
69,170,7,32,71,3,85,22,66,6
80,174,4,32,75,2,75,20,76,3
44,120,8,25,61,7,89,27,67,7
68,122,8,31,70,6,87,22,74,7
62,127,7,30,64,7,85,27,67,7
47,120,8,25,63,7,90,26,67,8
54,136,7,25,64,8,90,26,66,7
57,131,6,25,67,7,86,26,68,7
55,120,7,25,65,7,89,26,67,7
80,167,4,32,74,4,76,20,76,3
44,120,7,25,63,8,90,28,67,7
50,128,7,26,64,6,86,27,68,7
80,164,4,32,74,2,75,20,76,3
80,190,3,30,73,2,75,20,76,3
51,139,6,26,66,7,88,28,66,7
67,160,7,32,75,3,75,22,76,3
50,131,8,25,65,7,88,27,68,8
68,122,8,25,63,6,88,27,68,6
78,173,3,33,73,3,75,21,76,3
44,120,7,25,67,7,90,28,65,6
76,184,3,31,73,2,76,19,73,3
51,120,8,25,66,7,92,28,69,7
41,136,7,25,67,7,85,27,67,7
62,178,5,31,74,4,85,23,74,6
77,120,6,30,71,7,89,22,69,6
60,132,6,25,65,6,89,24,67,7
75,197,4,30,75,3,81,21,76,3
78,128,6,26,65,6,88,27,67,6
80,159,4,29,74,3,75,21,76,3
79,180,3,32,74,2,76,23,76,3
49,125,6,27,66,7,85,22,68,7
79,166,7,31,75,4,86,22,76,4
74,189,7,32,69,6,88,22,74,4
80,120,7,26,66,6,85,28,69,6
80,161,3,31,75,2,75,20,76,3
79,174,4,32,75,4,77,22,76,3
74,192,4,32,74,3,75,20,76,3
72,171,6,30,75,2,75,22,75,3
56,144,7,25,68,6,90,26,67,6
80,150,3,29,75,3,75,22,76,3
80,182,5,34,74,2,77,20,76,3
70,173,3,30,73,2,76,22,74,3
80,196,5,32,72,4,75,22,74,4
73,120,6,28,66,6,86,22,68,6
46,128,7,26,65,8,87,27,69,7
79,175,3,30,75,2,77,20,76,3
73,176,3,32,75,4,77,23,76,3
42,122,6,27,66,6,89,28,66,6
41,120,8,25,64,6,90,27,68,6
47,133,7,26,64,8,89,28,67,7
45,132,7,25,61,7,91,28,68,7
44,124,6,27,62,7,89,26,68,7
80,174,4,30,74,2,75,20,76,3
76,178,7,27,66,4,87,26,65,6
48,160,3,32,75,2,75,22,76,3
80,184,5,32,74,2,75,21,76,3
44,120,7,25,63,7,85,28,67,7
47,120,7,26,65,6,89,28,65,7
49,120,7,28,64,5,90,27,68,6
80,187,3,30,73,2,77,20,75,4
74,168,7,32,73,3,78,23,75,7
73,197,7,26,63,6,77,28,74,7
76,181,3,30,75,3,79,21,73,3
50,120,7,25,62,7,86,27,67,7
80,167,4,32,73,2,76,20,76,3
75,177,7,31,72,4,75,22,72,3
52,121,7,25,62,6,88,26,68,5
71,130,7,27,63,8,87,27,67,4
80,172,3,31,75,2,75,20,75,3
80,161,5,29,75,4,77,21,76,3
80,184,7,32,75,4,77,22,73,3
49,120,8,26,68,7,91,26,69,6
41,145,8,25,62,6,85,26,65,8
66,126,7,25,62,5,88,27,76,8
80,183,4,32,75,2,78,21,76,3
40,120,9,26,65,7,86,28,66,8
80,180,3,31,75,3,75,24,76,3
66,120,7,27,64,4,87,26,67,6
80,194,7,30,71,4,86,22,75,4
78,173,7,31,72,6,89,21,73,3
42,133,7,30,63,5,89,20,68,7
78,124,6,27,65,6,86,24,65,6
52,120,8,27,66,6,90,22,69,7
80,173,7,32,71,3,88,22,76,4
43,120,8,26,63,7,92,28,65,9
44,140,7,25,65,7,89,27,66,6
79,163,7,31,71,2,75,21,76,6
46,120,8,28,64,6,88,26,67,8
80,176,4,31,74,4,78,21,75,3
69,174,4,30,73,2,78,24,72,3
43,133,9,26,65,7,86,27,73,6
73,133,7,26,65,7,87,27,68,8
51,120,8,25,61,8,92,28,69,7
80,155,7,30,67,4,89,21,70,7
68,137,7,26,65,6,86,27,76,7
80,120,7,34,67,5,89,26,67,7
45,120,8,26,67,7,90,28,68,7
80,179,3,32,75,2,76,19,76,3
39,120,7,25,65,8,89,28,64,7
48,120,7,25,62,7,87,28,68,6
37,120,7,25,63,6,88,23,67,7
79,184,7,32,72,2,87,20,74,7
54,129,7,25,64,6,87,28,75,6
41,120,7,25,64,7,91,27,65,7
55,120,7,27,63,7,85,27,67,8
80,176,3,33,75,2,76,21,76,3
48,122,7,26,62,8,87,28,68,8
56,140,8,25,67,5,89,27,66,7
51,120,8,27,64,7,89,27,65,8
80,170,7,31,75,2,89,22,76,3
49,124,9,25,63,6,89,28,67,7
73,192,4,31,75,3,80,21,76,3
80,207,3,32,75,2,76,21,75,3
80,197,3,30,72,2,79,20,75,3
69,178,3,30,73,2,75,22,76,3
70,184,6,27,74,5,88,26,67,6
47,127,7,28,66,7,87,26,69,7
41,126,6,30,67,6,85,22,67,6
47,120,9,25,63,7,90,28,67,7
80,168,3,34,75,2,75,21,76,3
69,180,3,32,74,3,75,20,76,3
55,120,8,25,64,8,88,28,64,7
51,140,7,26,66,7,86,28,65,7
76,130,8,27,64,6,89,27,68,6
50,127,8,25,65,3,89,28,66,6
49,129,8,26,62,7,88,27,67,7
45,127,8,26,64,6,88,27,68,6
45,120,7,27,66,6,88,28,66,7
80,210,4,32,74,2,77,21,76,3
80,207,3,31,75,2,82,23,75,3
61,178,6,30,71,4,76,20,76,3
70,179,7,32,73,5,75,23,76,6
59,122,7,26,67,8,86,28,67,7
80,171,7,26,75,6,79,22,76,3
76,184,4,31,70,3,91,22,68,3
70,144,4,31,65,2,81,23,75,4
44,130,7,25,66,7,88,27,67,6
71,133,7,27,64,5,88,27,66,8
47,125,7,25,65,5,87,28,66,6
40,131,8,26,63,7,90,27,64,7
74,176,8,31,73,4,87,23,74,6
79,125,8,30,67,6,88,28,67,4
48,137,8,27,65,6,88,28,70,6
76,167,4,30,75,5,75,23,73,3
59,159,8,30,63,7,86,27,71,3
46,120,7,25,64,7,90,28,68,7
62,136,7,32,68,7,88,27,67,7
37,121,8,27,66,8,87,27,65,8
45,120,7,25,62,6,87,27,69,7
44,120,8,25,62,6,89,27,66,8
75,176,7,30,72,5,77,27,73,3
48,120,8,25,67,6,90,26,68,7
37,135,7,29,64,7,88,28,67,7
80,127,7,30,75,6,90,20,75,7
76,166,3,31,75,3,79,22,76,3
48,126,6,26,61,3,89,21,67,7
73,125,6,25,66,6,88,21,67,7
74,179,7,26,70,5,90,27,68,6
80,169,3,32,75,2,89,21,75,4
38,160,6,30,74,2,84,22,76,6
71,159,3,30,75,2,75,21,76,4
72,145,3,26,65,6,89,26,67,8
51,125,6,25,60,5,86,27,75,6
51,120,8,25,61,6,91,28,68,6
75,199,8,27,64,7,86,22,71,4
80,194,7,26,72,6,85,23,75,3
71,178,3,31,74,4,78,23,76,3
77,131,8,31,71,6,89,22,67,4
42,120,7,25,66,7,89,28,67,7
42,126,7,25,61,6,89,28,64,6
53,120,8,25,65,6,88,27,66,7
73,170,7,29,73,3,77,22,67,7
71,138,7,29,74,6,87,24,76,3
48,120,7,25,63,6,87,26,65,7
80,185,3,30,73,3,87,21,74,6
73,176,8,33,75,3,76,24,76,3
65,120,6,26,65,7,89,25,66,7
80,159,3,32,72,4,75,19,76,3
46,130,7,30,66,5,87,26,67,7
45,120,8,25,60,7,91,28,68,7
80,176,3,31,72,3,75,23,76,3
80,176,4,30,75,2,75,21,76,3
54,120,7,25,64,8,90,28,68,8
53,136,6,27,73,7,90,28,64,7
51,120,8,25,63,7,91,27,65,6
76,161,4,32,75,4,77,22,74,3
77,175,5,31,75,3,75,22,74,6
68,160,3,31,75,3,80,20,76,3
58,120,8,25,64,7,92,28,67,8
58,166,6,25,66,7,88,21,68,8
43,124,8,27,66,7,90,28,66,8
41,126,6,25,64,4,87,27,67,7
48,139,8,25,60,7,87,28,68,5
46,132,8,25,67,7,92,28,68,6
77,170,7,33,75,5,85,21,75,3
48,120,6,25,67,6,89,23,72,6
43,120,7,25,63,6,87,27,68,7
69,129,8,25,67,6,90,28,66,6
48,120,7,33,65,6,88,27,66,6
79,125,6,26,73,7,87,22,75,7
77,196,3,30,75,3,75,21,76,3
52,134,8,26,66,7,89,26,67,6
75,167,5,29,74,3,87,21,72,3
45,125,9,25,63,8,89,28,66,7
73,172,7,30,65,6,86,21,73,7
79,178,3,33,74,4,86,22,75,3
50,120,8,25,64,7,91,28,70,7
46,120,7,26,63,7,88,28,69,7
80,163,3,32,70,2,76,22,75,3
68,123,3,27,73,2,86,22,76,7
51,181,7,25,66,6,87,27,66,7
73,131,8,29,68,6,88,22,66,7
54,120,7,26,65,7,86,28,67,8
38,132,7,27,67,6,88,27,67,7
80,173,3,31,74,4,79,21,72,5
80,172,4,32,74,2,76,20,76,3
72,169,3,31,71,3,77,22,76,4
79,183,4,32,75,2,75,21,76,3
53,124,7,27,68,6,87,27,72,6
76,181,6,31,75,2,75,22,76,3
67,120,8,27,65,4,88,22,73,6
53,120,8,25,64,7,89,26,68,7
80,181,4,31,75,2,75,19,76,3
76,177,3,32,72,3,77,21,76,3
47,120,7,25,65,7,88,26,67,8
80,173,3,31,73,3,75,21,76,3
48,123,8,25,64,8,89,28,65,8
74,181,3,31,75,5,82,23,75,4
77,154,6,32,73,3,79,20,76,5
79,178,3,31,74,3,77,24,74,3
72,177,7,31,74,3,90,22,75,7
67,132,6,30,75,7,76,20,76,3
41,125,7,31,64,7,88,22,66,6
80,174,4,32,75,3,79,20,74,3
48,133,7,25,64,6,88,27,66,6
73,179,6,30,74,3,85,21,74,4
44,121,7,26,61,7,92,26,66,7
46,144,7,25,61,5,88,27,65,7
80,134,7,27,69,5,86,21,75,6
72,185,3,32,75,2,75,20,76,3
47,120,7,26,68,7,88,27,68,7
80,179,4,29,75,4,76,21,76,3
52,123,7,27,63,7,90,26,67,7
48,176,7,32,74,4,87,24,75,3
52,131,6,28,73,5,88,27,66,7
80,206,5,32,75,2,77,21,76,3
80,122,6,26,66,6,87,24,68,6
66,120,6,31,73,4,87,21,74,7
69,131,7,27,63,7,91,20,66,7
38,128,7,25,65,6,87,26,68,6
80,194,7,30,71,6,91,23,71,7
73,182,7,31,75,2,77,22,75,3
50,147,7,26,66,7,87,27,65,7
73,120,7,25,62,6,85,21,74,3
77,189,6,31,73,4,87,23,70,7
50,120,7,27,65,6,90,27,67,7
80,183,3,34,75,2,78,23,76,3
45,120,7,27,62,8,88,27,67,8
80,182,5,31,73,4,80,20,75,4
50,129,7,25,65,6,87,27,69,6
49,120,7,25,65,7,87,26,65,7
71,120,7,26,69,7,89,27,70,7
80,164,4,31,75,2,80,21,76,3
80,170,3,30,75,3,75,22,75,3
69,135,7,33,72,4,86,28,72,6
65,160,7,27,69,7,86,22,65,6
80,178,4,31,75,2,75,20,76,3
45,134,8,25,65,6,86,28,66,7
77,195,3,34,75,4,76,21,76,3
52,120,8,32,62,4,86,27,66,7
71,126,8,25,63,6,88,22,72,7
67,134,7,25,64,6,87,26,65,6
74,183,7,27,74,6,86,22,67,7
73,181,3,31,75,4,75,22,76,3
55,120,7,25,64,8,91,27,67,7
44,124,7,27,63,6,88,26,67,7
79,163,3,32,74,2,75,21,76,3
76,130,7,29,63,6,88,27,73,7
80,173,7,33,75,3,76,21,75,3
80,174,3,34,75,3,75,23,76,3
45,125,8,26,69,7,88,26,67,7
72,167,8,32,73,5,78,21,73,4
67,121,7,27,75,6,89,20,68,5
71,124,6,26,64,5,87,27,74,6
49,133,8,25,64,7,89,27,67,6
50,158,3,31,72,2,88,20,76,3
75,169,4,30,75,2,75,22,76,3
78,162,3,30,75,4,77,20,75,3
47,126,8,25,62,8,88,27,66,7
52,120,8,25,65,6,89,28,67,7
49,121,7,25,64,7,89,28,68,8
50,120,7,25,65,7,91,27,68,7
80,172,4,32,75,3,75,23,76,3
73,171,8,31,74,7,87,24,70,7
51,139,7,25,64,7,89,27,65,8
76,164,4,33,75,3,76,19,76,3
73,173,4,31,75,2,78,23,75,4
52,136,7,27,66,7,86,26,69,7
48,120,8,27,66,6,89,26,68,7
79,186,4,33,72,3,83,21,72,3
52,120,8,26,67,7,89,27,66,7
66,120,7,26,62,6,84,27,65,6
47,120,8,25,64,7,88,28,66,7
47,120,8,26,66,8,91,28,66,8
44,121,8,31,65,6,87,21,68,7
50,120,8,25,65,7,89,28,67,8
77,173,6,32,69,6,86,28,75,7
48,135,8,32,64,6,89,22,65,8
80,163,5,32,74,2,75,21,76,3
80,129,6,25,72,6,88,23,72,3
77,189,5,30,75,3,75,21,75,7
80,136,8,25,74,7,87,23,67,7
73,193,3,25,73,2,77,22,75,3
80,168,3,31,75,3,78,19,75,3
48,133,8,28,63,8,86,26,68,8
66,120,8,26,63,6,87,26,65,6
45,128,8,32,66,7,89,26,65,8
44,124,7,28,64,7,87,26,66,6
48,124,6,27,63,5,90,26,69,6
72,187,8,25,66,6,86,22,75,4
65,174,4,30,74,3,77,27,75,3
47,120,8,25,63,7,90,27,68,7
71,178,7,30,73,3,79,20,76,3
67,163,7,26,72,2,86,20,76,3
57,126,8,25,62,8,88,27,68,8
69,120,8,26,65,6,84,28,66,7
80,170,4,33,75,2,77,21,76,3
50,120,7,25,65,8,90,27,67,6
57,123,6,26,69,6,88,23,73,6
54,122,8,25,62,6,87,28,67,7
44,120,8,25,64,7,91,27,66,7
42,130,7,32,67,7,86,20,68,5
71,172,7,31,72,6,87,23,67,4
57,128,7,25,65,6,90,26,64,5
79,177,3,31,73,3,89,22,76,3
49,128,7,26,67,8,92,28,69,8
48,120,8,25,62,8,92,28,66,6
51,120,8,26,64,7,90,27,66,7
45,157,9,26,64,6,83,23,76,8
75,173,6,34,75,2,75,21,76,3
67,120,7,29,62,5,85,26,65,7
49,120,8,25,64,6,90,27,67,6
80,167,3,32,73,3,76,22,76,3
53,120,7,27,60,7,90,27,68,7
80,120,9,30,65,6,86,26,67,5
80,194,4,34,75,3,75,20,76,3
44,144,7,25,64,7,89,28,67,7
80,167,3,31,74,7,86,23,76,3
45,121,7,26,64,5,88,27,68,8
76,169,3,31,74,3,77,22,75,4
72,157,7,30,72,7,88,22,72,6
80,174,4,32,74,4,75,20,75,3
80,158,4,30,75,2,75,21,76,3
52,120,8,25,67,7,88,27,67,7
75,187,6,31,75,4,75,22,75,3
75,168,4,32,75,3,78,22,75,3
50,120,8,26,64,7,89,27,66,7
45,120,8,25,62,8,90,25,67,6
75,177,3,31,75,2,75,22,76,3
75,170,6,31,73,3,89,22,76,6
49,131,7,25,67,7,90,26,64,7
80,153,4,31,75,2,75,22,76,3
55,121,7,25,63,8,88,25,66,7
66,181,6,29,71,5,75,23,76,3
80,188,4,32,75,2,75,22,76,3
80,166,4,31,64,5,87,28,76,6
80,180,4,32,75,2,75,20,76,3
48,127,7,27,62,6,89,27,66,7
67,175,3,31,73,4,75,20,76,3
71,169,7,31,73,6,85,22,67,7
74,171,5,31,75,4,79,20,76,3
50,120,7,26,63,2,89,28,64,7
40,135,7,27,64,6,91,28,65,8
75,172,7,29,74,3,78,21,74,3
80,120,7,25,70,7,86,27,67,6
53,134,8,26,64,8,88,28,68,7
46,134,8,27,67,7,91,28,68,7
79,183,3,31,72,6,87,21,73,7
67,191,7,31,72,4,86,23,76,6
60,120,7,28,65,7,90,25,67,7
72,128,7,26,67,7,90,22,70,7
76,141,6,25,65,7,88,27,65,6
80,188,5,31,75,3,75,20,76,3
45,132,7,25,66,6,90,26,66,6
77,163,7,30,73,3,84,22,76,3
47,120,7,27,65,6,91,27,66,7
66,184,8,30,72,2,76,23,73,6
40,120,7,25,61,6,90,28,71,7
80,181,5,33,75,2,76,20,76,3
65,174,3,32,74,3,75,21,76,4
67,126,7,25,66,3,88,22,66,7
43,121,7,27,72,3,86,28,75,6
80,163,3,30,75,3,76,20,76,4
80,171,4,30,74,3,80,20,76,3
80,120,8,25,67,7,88,25,68,7
73,165,4,31,74,4,75,21,76,3
80,172,4,32,75,2,75,21,76,3
75,181,3,33,75,3,78,19,76,3
54,133,7,27,60,7,90,25,69,6
66,165,7,32,72,6,85,21,73,4
37,120,8,26,61,7,88,28,68,7
55,120,8,25,61,6,88,25,66,6
80,120,6,26,66,4,88,25,68,6
55,120,8,25,65,7,87,26,63,8
73,129,7,27,73,6,86,21,68,7
52,120,7,25,62,7,89,28,66,6
45,120,7,25,66,6,88,26,68,7
80,175,8,33,71,2,88,21,73,3
52,143,7,26,66,7,90,26,66,6
40,126,7,26,61,6,87,27,65,6
48,139,7,27,65,8,88,28,69,6
54,139,8,27,66,7,92,25,69,7
79,187,3,31,75,3,78,22,75,3
49,120,7,25,65,7,88,28,66,7
41,129,8,26,65,7,88,27,68,7
55,125,8,25,65,8,90,27,64,6
48,120,7,25,65,6,89,26,65,7
80,191,4,31,73,4,76,22,76,3
49,120,7,26,66,6,87,27,67,7
45,120,7,28,66,6,87,26,68,7
80,173,3,32,74,2,77,22,76,3
77,177,7,29,67,5,85,22,65,5
80,171,3,32,75,2,75,21,76,3
49,120,7,25,64,6,88,24,67,7
75,184,4,31,75,2,78,23,76,3
80,172,4,31,74,3,75,20,76,3
53,126,7,26,67,6,87,26,67,8
58,120,8,25,64,7,89,28,67,6
41,127,8,25,65,7,89,28,65,7
48,120,7,26,67,3,88,25,73,7
56,120,9,25,65,7,92,28,66,7
58,120,7,25,61,6,87,27,68,7
46,121,8,25,61,8,89,26,67,7
79,169,4,31,75,2,80,22,76,3
46,123,8,25,65,7,90,27,67,6
74,174,5,33,75,3,75,21,76,3
55,121,7,26,62,6,86,27,70,6
80,180,3,31,75,2,75,22,76,3
68,128,7,25,65,7,80,28,76,3
39,144,7,25,61,6,89,28,66,5
46,120,7,27,63,6,87,22,69,6
80,185,3,31,75,2,75,22,76,3
46,122,7,27,63,6,86,27,65,6
49,129,8,26,64,7,87,28,69,7
76,181,4,32,75,2,75,21,76,3
80,120,8,25,64,6,89,27,66,6
80,188,4,33,75,2,76,21,76,3
49,120,7,26,63,6,88,27,65,8
71,179,6,32,74,7,75,22,75,3
79,162,7,31,71,2,75,22,76,6
73,175,4,31,73,6,88,22,67,6
79,178,3,31,75,4,79,21,76,3
69,175,7,31,73,4,75,19,76,6
76,162,3,31,73,5,76,22,76,4
77,200,5,33,75,2,86,23,76,3
73,126,6,25,74,6,86,23,65,4
52,120,8,25,61,7,89,28,65,9
73,128,7,27,65,4,90,20,65,6
39,120,7,25,64,6,89,25,66,6
53,120,8,25,63,6,89,28,66,6
66,156,8,31,66,6,87,23,76,3
74,158,3,29,71,4,79,22,74,7
70,191,8,31,75,3,79,21,76,5
47,124,7,25,62,7,88,28,67,9
73,164,3,31,73,2,87,23,74,4
48,120,7,25,65,7,88,26,67,7
44,120,8,25,62,8,92,27,66,7
71,130,7,27,67,3,86,27,73,6
60,120,7,25,66,7,88,26,66,7
80,175,3,32,73,2,75,22,73,3
44,143,7,26,62,4,89,27,65,6
76,180,4,31,72,2,84,22,76,3
63,173,3,32,74,2,75,22,76,5
68,158,7,33,72,2,75,22,74,3
72,175,8,33,66,4,89,21,76,6
80,169,3,33,75,2,75,20,76,3
43,120,8,25,65,8,88,28,65,7
80,189,4,33,75,3,75,21,76,3
75,152,6,31,74,7,79,20,74,4
76,187,5,31,74,3,75,23,76,3
46,138,6,26,62,7,86,27,66,6
42,129,7,25,63,6,88,26,64,8
